id,title,chart_rank,chart_date,artist,url,region,chart,trend,streams,track_id,album,popularity,duration_ms,explicit,release_date,available_markets,af_danceability,af_energy,af_key,af_loudness,af_mode,af_speechiness,af_acousticness,af_instrumentalness,af_liveness,af_valence,af_tempo,af_time_signature,predicted_popularity,is_popular
00BMTqKb81K76KyfFjJhtq,That's All I Know,0,,,,,,0,0.0,00BMTqKb81K76KyfFjJhtq,,0,216084,1,,,0.8069999814033508,0.7049999833106995,4,-4.841000080108643,0,0.2529999911785126,0.2430000007152557,0.0,0.2750000059604645,0.5870000123977661,157.9499969482422,4,1,0
7leaOxIeW9qLNsPCnfKSsL,The Drive Thru,0,,,,,,0,0.0,7leaOxIeW9qLNsPCnfKSsL,,0,145057,0,,,0.6940000057220459,0.7360000014305115,7,-5.658999919891357,1,0.3549999892711639,0.2049999982118606,0.0,0.061999998986721,0.5699999928474426,94.50299835205078,4,1,0
4HzZn5CnRc4CnVU9tCzodL,Champaine Wishes,0,,,,,,0,0.0,4HzZn5CnRc4CnVU9tCzodL,,0,255586,0,,,0.7179999947547913,0.7670000195503235,7,-5.098999977111816,1,0.3819999992847442,0.1030000001192092,0.0,0.1299999952316284,0.699999988079071,93.14800262451172,4,1,0
5guDiFLFH69oYXtP0K3yKJ,Jadi Pilihanku,0,,,,,,0,0.0,5guDiFLFH69oYXtP0K3yKJ,,0,253586,0,,,0.6819999814033508,0.6690000295639038,0,-7.322999954223633,1,0.0568000003695488,0.3109999895095825,0.0,0.2930000126361847,0.5889999866485596,132.93499755859375,4,1,0
2CwlmFhN1EqYzSBqYa7dUx,Born To Worship - Live,0,,,,,,0,0.0,2CwlmFhN1EqYzSBqYa7dUx,,0,224200,0,,,0.7149999737739563,0.6700000166893005,0,-6.7179999351501465,1,0.0294000003486871,0.125,0.0,0.968999981880188,0.531000018119812,116.90499877929688,4,1,0
5oSOGWBcZgAv8iq1rYXRsT,One Two,0,,,,,,0,0.0,5oSOGWBcZgAv8iq1rYXRsT,,0,317186,1,,,0.7089999914169312,0.7149999737739563,7,-5.506999969482422,1,0.4009999930858612,0.2660000026226043,9.01000021258e-05,0.4740000069141388,0.6439999938011169,139.24600219726562,4,1,0
0IqipMMRjpN1tEXhsVszxG,Hustlin' - O/Y Remix,0,,,,,,0,0.0,0IqipMMRjpN1tEXhsVszxG,,0,375988,0,,,0.7850000262260437,0.6259999871253967,8,-10.164999961853027,1,0.0850000008940696,0.19200000166893,0.5659999847412109,0.0913000032305717,0.7649999856948853,105.02400207519533,4,1,0
59umEsqopENBef9UgW2ZZg,Side Bitch,0,,,,,,0,0.0,59umEsqopENBef9UgW2ZZg,,0,270000,1,,,0.7020000219345093,0.6269999742507935,9,-8.114999771118164,0,0.3300000131130218,0.0819000005722045,0.0,0.0975999981164932,0.6980000138282776,133.05799865722656,3,1,0
0jeaw49bxG4t7O8RmxVvsv,Born Again Christian,0,,,,,,0,0.0,0jeaw49bxG4t7O8RmxVvsv,,0,229733,1,,,0.7730000019073486,0.6949999928474426,7,-6.370999813079834,1,0.3120000064373016,0.1120000034570694,0.0,0.1330000013113021,0.625,178.4550018310547,4,1,0
4xaEfKNOuXSV4GVoQmbbrb,Yogud,0,,,,,,0,0.0,4xaEfKNOuXSV4GVoQmbbrb,,0,248550,0,,,0.7580000162124634,0.7099999785423279,1,-8.595999717712402,1,0.1330000013113021,0.2430000007152557,3.3199999052e-06,0.125,0.6039999723434448,140.9969940185547,4,1,0
